KPN,Description,Type,Cost
201389,CVNVR Recorder ,CCTV,648
201388,"CV181N 6MP Panoramic Dome; Outdoor, IR LEDCV181N 6MP Panoram",CCTV,260
201386,"Wire Harness, Kastle Axiom Controller Module",V7,26.2
201385,"Kastle V7 Axiom Controller Module, Board Only ",CONTROL,121.31
201384,"Kastle V7 Axiom Controller Module, Complete Assembly",V7,130.18
201383,Kastle Axiom Multi Module Enclosure,V7,155.5
201382,SBC option for KAX HUB ENC ,V7,81.15
201381,Kastle Hub Enclosure Complete,V7,368.8
201379,Strobe,SOUNDERS,15.99
201376,RT-1T Additional Transmitter for RT-1 Kit,BUTTONS,23.81
201375,RT-1 Kit - Receiver & Transmitter,BUTTONS,57.99
201373,"4.0 MP WDR, LightCatcher, 3.3-9mm f/1.3 P-iris lens, Integrated IR, Next-Generation Analytics; H5",CCTV,940.05
201363,"AXIS T94N01D, Pendant Kit 01513-001",CCTV,72.99
201361,"Walker W3-500PNH3-00 Handset W/Cradle 29"" Armored Cable",PHONES,147.76
201335,"Axis P3717-PLE, 8MP multidirectional, IR, 01504-001",VIDCAMERA,1066.99
201333,"AIPHONE, IX-MV7-B IX Master Station 7"" Black",INTERCOM,1025.9
201332,Schlage LE ADD Mortise Deadbolt,LOCKS,495.2088
201330,"Schlage BE467 Smart Deadbolt 5.5"" CTC",LOCKS,307.55
201317,*Discontinued product,COMM,1092.81
201315,Honeywell RDWL917AX2000/E Portable Wireless Doorbell,SOUNDERS,54.27
201274,"HES 9700, Heavy Duty Surface Mount Strike",LOCKS,283.99
201273,"Epson TM-C3500, Inkjet Label Printer",PHOTOID,2057.02
201272,Salto AH668W62NE38S Elec. Escutcheon HID iClass Sallis,LOCKS,61.5
201271,Salto LA1T1570A21IM8LH Mortise Lock US32D LH,LOCKS,62.96
201266,700T 2.8-12MM OT IR DOM 12/24V,VIDCAMERA,109.99
201261,"Avigilon ES-HD-IR-IP6, IR Illuminator, POE+, Outdoor",CCTV,475.77
201260,"Avigilon ES-HD-LP-HS, Enclosure w/ Heater, Sunshld, POE Pass",CCTV,460.21
201259,"Viking TBB-1B, Talk Battery Booster",INTERCOM,74.19
201258,"Altronix ALTV244175, 4 Fused Out, 24/28VAC @7.25A, 115VAC",POWER,119.94
201257,"2PRT,ETHRNT,HI-PWR POE INJECTR",COMM,138.99
201256,RCI Raised Spacer Plate KK-3NS-CL Black Anodized 6x1.75x.3,PLATES,35.21
201255,RCI Raised Spacer Plate KK-3NS-BK Black Anodized 6x1.75x.3,PLATES,35.21
201254,"Trendnet TPE-5240WS, 52 Port Gigabit Websmart POE+ Switch",COMM,548.15
201253,CV4IP-16-XT Ruggedized Gateway,CCTV,899
201251,*Discontinued product,CCTV,274.1
201248,16 port MaxiiCopper Ethernet Extender over UTP POE,COMM,2129.99
201245,Tripp Lite SRSHELF2P 2U Cantilevered 19W x 18D Rack Shelf,CCTV,70.44
201244,Tripp Lite SRW6UKD 6U Wall Mount Rack Enclosure,CCTV,209.59
201243,Windy City 12/2 Unshielded Stranded Plenum 991260-11BR,WIRE,0.51
201242,"Avigilon 3.0C-HD-LP-B1, H4 License Plate Capture Camera Kit",VIDCAMERA,623.05
201241,"Avigilon 3.0C-H4SL-D1-IR, 3.0MP Indoor Dome, 3-9mm, IR",VIDCAMERA,275.76
201239,VND 050251 RX/S1 SWITCH KIT,RELAYS,174.3
201238,Axis T8640 Rack Mount Bracket 5026-421,CCTV,45.99
201236,"KK-3N-PMB W/PTE Kastle KK-3N Push-to-Exit Plate, Polished Ma",PLATES,65.41
201235,"Tripp Lite DWM2655M, 26-55 TV Swivel/Tilt Wall Mount Arm",CCTV,82.25
201234,"APC SMT750C Smart-UPS, 750VA Remote Mont, LCD",POWER,418.69
201233,"Samsung UN43RU7100FXZA, 7 Series 43 LED TV, 4K UHD",CCTV,467.78
201232,TP-L17 US26D (74290) Command Access - Lever Trim Pack; L17 x,LOCKS,120.85
201231,ML1080LB (79525) Command Access - Mechanical Mortise Case; S,LOCKS,88.89
201230,"Ubiquity ES-5XP, 5P Managed Gigabit 24V PoE Switch",COMM,131.44
201229,"C2G 54404, 25ft DisplayPort Cable 4K to 8K UHD M/M",CCTV,66.24
201228,"Panasonic WV-CP630, Day/Night Camera with ABS & ABF",VIDCAMERA,536.33
201227,"Pelco EM2400, Light Duty Wall Mount w/ Cable Feedthrough",CCTV,59.5
201226,"Pelco SS4718, Sun Shield for EH4717 & EH4718L",CCTV,54.21
201225,Ubiquiti  - UniFi Switch “DO NOT USE THIS SWITCH. USE 201982 INSTEAD”,VIDRECORD,804.79
201223,Ditek DTK-DF120S1 Deflector S1 120V,POWER,145.48
201222,Ditek DTK-MRJ31XSCPWP Modular RJ31X Surge Protector W/SC Pro,POWER,27.16
201221,Interlogix 3040-W Hold-Up Switch SM Panic-SPDT Latching LED,BUTTONS,22.78
201220,SDC Z7550RRCGG HighTower Lock Body Only,LOCKS,469.58
201219,"WD Ultrastar DC HC510, Data Center Hard Drive, 10TB, 0F27606",COMPUTER,431.93
201218,*Discontinued product,COMM,62.99
201217,2012Axis T94H01P Conduit Back Box16,CCTV,29.91
201216,"Tycon TP-DCDC-1248DX2-HP, PoE injectors",POWER,136.32
201215,"AXIS T91A11, Plastic Camera Stand, Wall/Ceiling Mount",CCTV,19.28
201214,Aiphone JOS-1AW Kit (JO-1MDW + JO-DA + PS1820UL),INTERCOM,555.75
201213,PM300 W_RH1&WH6 HARNESS,RELAYS,83.57
201211,"AXIS M3048-P, 12MP mini dome, 360° Network Camera",VIDCAMERA,564.15
201210,Ganz ZA8-CBK625 Pendant Mount for ZN8-VD4M212,VIDCAMERA,12.67
201209,Salto Outdoor Kit SP220475-6,LOCKS,44.1
201208,Salto Mort. Lock Latch Door Detector LA1T0570A21IM8L,LOCKS,61.49
201207,Salto Electric Escutcheon Mifare A9650A00IM38S,LOCKS,424.06
201206,"Schlage FE410F GRW/LAT, 625 Bright Chrome, 4"" CTC",LOCK,338.69
201204,P3225VMKII/1080P/DOM/3-10MM,VIDCAMERA,514.99
201203,SCH L9080PEL L/B 24V,LOCKS,351
201202,"RPK40-H 921PHRNEK0002D PiVCLS, Sepig, Blk, LF STD",READERS,366
201201,Interlogix AP669RK Recessed Mounting Kit for AP669 Motion,DETECTORS,21.59
201200,"PLATE, KK-3, PB, 2G, BM",PLATES,58.66
201199,"Schlage FE410F ADD/LAT, 716 Aged Bronze, 5 1/2 CTC",LOCKS,335.85
201198,Netgear GS108-E 8 Port Gigabit Managed Plus Switch,COMM,70.86
201197,Kastle Presence Micro Reader (BLE Only),READERS,115.01
201195,L9092PEU 03L 626,LOCKS,617.59
201194,ND80PDEL/EU SPA  626-C KWY,LOCKS,430.16
201193,Middle Atlantic NO-U2 3 1/2 Universal Rack Shelf,SPECIAL,71.99
201192,CV4IP-8-LTE Ruggedized Gateway with Cellular,CCTV,601.88
201191,"Axis F8235, Fisheye Accessory, 5506-541",CCTV,30.73
201190,"AXIS F1035-E, Sensor Unit 12M, 0736-001",CCTV,217.2
201189,"Axis P3374-LV, 720P Fixed Dome, Day/Night, 3-10mm",VIDCAMERA,545.89
201188,P3228LVE/VANDOM/4K/3.5-10MZ/IR,VIDCAMERA,872.38
201187,*Discontinued product,COMM,137.32
201186,Nameplate phone flush 3 but,PANELS,269.38
201185,Aiphone IX-DV Surface Mounted IP Video Door Station,INTERCOM,904.68
201184,Aiphone IX-MV7-HB 7 Master Station HS Black,INTERCOM,961.4
201183,"KAS001-190220GS-1, Rack Ears w/ Filler Panel for Express-HD",CCTV,58.4
201182,"Tycon TP-DCDC-1224G, 12/24V Gigabit Passive PoE Injector",POWER,48.86
201181,"Tycon TP-SC48-60-MPPT, Solar Charge Controller",POWER,326.42
201180,"L-Com HGX-PMT33, Enclosure Pole Mounting Rails Kit",BOXES,40.56
201179,LX-402 40'X50' OUTDR PIR,DETECTORS,64.99
201178,"4 MP HQA,IR,2.7-12M VANDOM CVI",VIDCAMERA,160.89
201177,12/24VDC 4A PTC CCTV P/S,POWER,126.99
201176,*Discontinued product,COMM,691.65
201175,"Antaira LNP-800AGH-24, 8 Port PoE+ Unmng Switch, 12-36VDC",COMM,438.39
201173,Aiphone SBX-IDVF Surface Mount Box,INTERCOM,119.7
201172,Optex IVP-GU2 Kit RC-20U + TS-10U,INTERCOM,63.59
201171,YELLOW KEY TO RESET STOPPER STATION NO COVER CUSTO,BUTTONS,57.6
